bill_number,bill_name,year,type,category,ministry,introduced_in,introduced_by,introduced_date,passed_ls_date,passed_rs_date,assented_date,status,committee_referred,committee_report_date,act_no,act_year,introduced_file,report_file,gazette_file 
XLVI,"The Cinematograph (Amendment) Bill, 2023",2023,Government,Ordinary Bill,INFORMATION AND BROADCASTING,Rajya Sabha,,2023-07-20,2023-08-04,2023-07-27,04/08/2023,Assented,,,12,2023,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/cinematograph-E7212023121949PM.pdf?source=legislation,,
XLVI,"The Cinematograph (Amendment) Bill, 2023",2023,Government,Ordinary Bill,INFORMATION AND BROADCASTING,Rajya Sabha,,2023-07-20,2023-08-04,2023-07-27,04/08/2023,Passed,,,12,2023,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/cinematograph-E7212023121949PM.pdf?source=legislation,,
81,"THE COASTAL AQUACULTURE AUTHORITY (AMENDMENT) BILL, 2023",2023,Government,Ordinary Bill,"fisheries, animal husbandry and dairying",Lok Sabha,,2023-04-05,2023-08-07,2023-08-09,12/08/2023,Assented,,,27,2023,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/81_2023_LS_ENG45202321701PM.pdf?source=legislation,,
81,"THE COASTAL AQUACULTURE AUTHORITY (AMENDMENT) BILL, 2023",2023,Government,Ordinary Bill,"fisheries, animal husbandry and dairying",Lok Sabha,,2023-04-05,2023-08-07,2023-08-09,12/08/2023,Passed,,,27,2023,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/81_2023_LS_ENG45202321701PM.pdf?source=legislation,,
80,"THE FOREST (CONSERVATION) AMENDMENT BILL, 2023",2023,Government,Ordinary Bill,ENVIRONMENT AND FORESTS,Lok Sabha,,2023-03-29,2023-07-26,2023-08-02,04/08/2023,Assented,,,15,2023,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/80_2023_eng_ls64202335043PM.pdf?source=legislation,,
80,"THE FOREST (CONSERVATION) AMENDMENT BILL, 2023",2023,Government,Ordinary Bill,ENVIRONMENT AND FORESTS,Lok Sabha,,2023-03-29,2023-07-26,2023-08-02,04/08/2023,Passed,,,15,2023,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/80_2023_eng_ls64202335043PM.pdf?source=legislation,,
64,"The Appropriation Bill, 2023",2023,Government,Money Bill,FINANCE,Lok Sabha,,2023-03-23,2023-03-23,2023-03-27,29/03/2023,Assented,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/64_2023_LS_ENG323202361955PM.pdf?source=legislation,,
67,"THE JAMMU AND KASHMIR APPROPRIATION (No. 2) BILL, 2023",2023,Government,Money Bill,FINANCE,Lok Sabha,,2023-03-21,2023-03-21,2023-03-27,29/03/2023,Assented,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/67_2023_LS_ENG321202324706PM.pdf?source=legislation,,
66,"THE JAMMU AND KASHMIR APPROPRIATION BILL, 2023",2023,Government,Money Bill,FINANCE,Lok Sabha,,2023-03-21,2023-03-21,2023-03-27,29/03/2023,Assented,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/66_2023_LS_ENG321202324656PM.pdf?source=legislation,,
65,"THE APPROPRIATION (NO. 2) BILL, 2023",2023,Government,Money Bill,FINANCE,Lok Sabha,,2023-03-21,2023-03-21,2023-03-27,29/03/2023,Assented,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/65_2023_LS_ENG321202324621PM.pdf?source=legislation,,
62,"The Inter-Services Organisations (Command, Control and Discipline) Bill, 2023",2023,Government,Ordinary Bill,DEFENCE,Lok Sabha,,2023-03-15,2023-08-04,2023-08-08,15/08/2023,Assented,,,28,2023,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/62_2023_LS_E315202331238PM.pdf?source=legislation,,
62,"The Inter-Services Organisations (Command, Control and Discipline) Bill, 2023",2023,Government,Ordinary Bill,DEFENCE,Lok Sabha,,2023-03-15,2023-08-04,2023-08-08,15/08/2023,Passed,,,28,2023,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/62_2023_LS_E315202331238PM.pdf?source=legislation,,
17,"The Finance Bill, 2023",2023,Government,Money Bill,FINANCE,Lok Sabha,,2023-02-01,2023-03-24,2023-03-27,31/03/2023,Assented,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/Finance Bill E 202321202322742PM.pdf?source=legislation,,
299,"THE JAN VISHWAS (AMENDMENT OF PROVISIONS) BILL, 2022",2022,Government,Financial Bill,COMMERCE AND INDUSTRY,Lok Sabha,,2022-12-22,2023-07-27,2023-08-02,11/08/2023,Assented,,,18,2023,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/299_2022_LS_ENG1222202244325PM.pdf?source=legislation,,
299,"THE JAN VISHWAS (AMENDMENT OF PROVISIONS) BILL, 2022",2022,Government,Financial Bill,COMMERCE AND INDUSTRY,Lok Sabha,,2022-12-22,2023-07-27,2023-08-02,11/08/2023,Passed,,,18,2023,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/299_2022_LS_ENG1222202244325PM.pdf?source=legislation,,
290,"THE REPEALING AND AMENDING BILL, 2022",2022,Government,Financial Bill,LAW AND JUSTICE,Lok Sabha,,2022-12-19,2023-07-27,2023-12-13,17/12/2023,Passed,,,37,2023,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/290_2022_LS_Eng1219202255443PM.pdf?source=legislation,,
246,"THE APPROPRIATION (No. 5) BILL, 2022",2022,Government,Money Bill,FINANCE,Lok Sabha,,2022-12-14,2022-12-14,2022-12-21,24/12/2022,Assented,,,22,2022,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/246_2022_LS_Eng1214202240827PM.pdf?source=legislation,,
246,"THE APPROPRIATION (No. 5) BILL, 2022",2022,Government,Money Bill,FINANCE,Lok Sabha,,2022-12-14,2022-12-14,2022-12-21,24/12/2022,Passed,,,22,2022,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/246_2022_LS_Eng1214202240827PM.pdf?source=legislation,,
245,"THE APPROPRIATION (No. 4) BILL, 2022",2022,Government,Money Bill,FINANCE,Lok Sabha,,2022-12-14,2022-12-14,2022-12-21,24/12/2022,Assented,,,21,2022,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/245_2022_LS_Eng1214202240754PM.pdf?source=legislation,,
245,"THE APPROPRIATION (No. 4) BILL, 2022",2022,Government,Money Bill,FINANCE,Lok Sabha,,2022-12-14,2022-12-14,2022-12-21,24/12/2022,Passed,,,21,2022,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/245_2022_LS_Eng1214202240754PM.pdf?source=legislation,,
II,"THE UNIFORM CIVIL CODE IN INDIA BILL, 2020",2020,Private Member,Ordinary Bill,LAW AND JUSTICE,Rajya Sabha,Kirodi Lal Meena Dr.,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/UCC-Kirodi 91222-E1213202281611PM.pdf?source=legislation,,
9,"The Forest (Conservation) Amendment Bill, 2020 (Insertion of new sections 3C and 3D).",2020,Private Member,Ordinary Bill,ENVIRONMENT AND FORESTS,Lok Sabha,Tirath Singh Rawat Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/9 of 2020  AS12122022105502AM.pdf?source=legislation,,
48,"The Payment of Compensation to Persons Attacked by Wild Animals Bill, 2020.",2020,Private Member,Financial Bill,ENVIRONMENT AND FORESTS,Lok Sabha,Tirath Singh Rawat Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/48 OF 2020 AS12122022105651AM.pdf?source=legislation,,
96,"The Sports Broadcasting Signals (Mandatory Sharing with Prasar Bharati) (Amendment) Bill, 2021 (Amendment of section 3)",2021,Private Member,Ordinary Bill,INFORMATION AND BROADCASTING,Lok Sabha,Jagdambika Pal  Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/96 OF 2021 AS12122022111005AM.pdf?source=legislation,,
95,"The Information Technology (Amendment) Bill, 2021 (Substitution of  new  section  for section 43A)",2021,Private Member,Ordinary Bill,ELECTRONICS AND INFORMATION TECHNOLOGY,Lok Sabha,Suresh Kodikunnil Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/95 OF 2021 AS12122022110545AM.pdf?source=legislation,,
85,"The Juvenile Justice (Care and Protection of Children) Amendment  Bill, 2021 (Amendment of section 75)",2021,Private Member,Ordinary Bill,WOMEN AND CHILD DEVELOPMENT,Lok Sabha,Suresh Kodikunnil Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/85 OF 2021 AS12122022110648AM.pdf?source=legislation,,
83,"The National Commission for Welfare of  Female Farmers Bill, 2021.",2021,Private Member,Financial Bill,HEALTH AND FAMILY WELFARE,Lok Sabha,Ravneet Singh Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/83 OF 2021 AS12122022105323AM.pdf?source=legislation,,
4,"The Promotion of Cycling Bill, 2021.",2021,Private Member,Financial Bill,COMMERCE AND INDUSTRY,Lok Sabha,Ravneet Singh Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/4 OF 2021 AS12122022105922AM.pdf?source=legislation,,
36,"The Railways (Amendment) Bill, 2021 (Insertion of section 11A).",2021,Private Member,Ordinary Bill,RAILWAYS,Lok Sabha,Suresh Kodikunnil Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/36 OF 2021 AS12122022110444AM.pdf?source=legislation,,
128,"The Constitution (Amendment) Bill, 2021 (Amendment of Seventh Schedule).",2021,Private Member,Ordinary Bill,YOUTH AFFAIRS AND SPORTS,Lok Sabha,Jagdambika Pal  Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/128 OF 2021 AS12122022114018AM.pdf?source=legislation,,
XC,"The Prevention and Prohibition of Witch-Branding and Witch-Hunting and Other Harmful Practices Bill, 2022.",2022,Private Member,Ordinary Bill,WOMEN AND CHILD DEVELOPMENT,Rajya Sabha,Sujeet Kumar Shri,2022-12-09,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/24 E 258 Session1213202280605PM.pdf?source=legislation,,
LXXXVIII,"The Sarva Dharma Temple Bill, 2022.",2022,Private Member,Ordinary Bill,CULTURE,Rajya Sabha,Shanta Chhetri Smt.,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/28 E 258 Session1213202280847PM.pdf?source=legislation,,
LXXXVI,"The National Judicial Commission Bill, 2022",2022,Private Member,Financial Bill,LAW AND JUSTICE,Rajya Sabha,Bikash Ranjan Bhattacharyya Shri,2022-12-09,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/1809RS- the National Judicial-E211202511740PM.pdf?source=legislation,,
LXXXV,"The Constitution (Amendment) Bill, 2022 (amendment of article 270, 271, 280 and insertion of article 342B).",2022,Private Member,Ordinary Bill,FINANCE,Rajya Sabha,V. Vijayasai Reddy Shri,2022-12-09,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/23 E 258 Session1213202280523PM.pdf?source=legislation,,
LXXXIX,"The Guaranteed Delivery of Public Services and Accountability Bill, 2022.",2022,Private Member,Financial Bill,"PERSONNEL,  PUBLIC  GRIEVANCES  AND  PENSIONS",Rajya Sabha,Fauzia Khan Dr.,2022-12-09,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/31 E 258 Session1213202281043PM.pdf?source=legislation,,
LXXXIV,"The Code of Criminal Procedure (Amendment) Bill, 2022.",2022,Private Member,Ordinary Bill,HOME AFFAIRS,Rajya Sabha,Sujeet Kumar Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/25 E 258 Session1213202280644PM.pdf?source=legislation,,
LXXXIII,"The Net Zero Emissions Bill, 2022.",2022,Private Member,Ordinary Bill,ENVIRONMENT AND FORESTS,Rajya Sabha,Sujeet Kumar Shri,2022-12-09,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/26 E 258 Session1213202280727PM.pdf?source=legislation,,
LXXXII,"The National Commission for Controlling Medical Inflation Bill, 2022.",2022,Private Member,Financial Bill,HEALTH AND FAMILY WELFARE,Rajya Sabha,Sandosh Kumar P Shri,2022-12-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/20 E  258 Session1213202280144PM.pdf?source=legislation,,
LXXXI,"The Right of Children to Free and Compulsory Education (Amendment) Bill, 2022.",2022,Private Member,Ordinary Bill,EDUCATION,Rajya Sabha,Derek O' Brien Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/15 E 258 Session1213202275731PM.pdf?source=legislation,,
LXXX,"The Maa Mamata (Orphan's Welfare) Scheme Bill, 2022.",2022,Private Member,Ordinary Bill,WOMEN AND CHILD DEVELOPMENT,Rajya Sabha,Shanta Chhetri Smt.,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/29 E 258 Session1213202280925PM.pdf?source=legislation,,
LXXV,"The Constitution (Amendment) Bill, 2022 (amendment of articles 16, 124 and 216).",2022,Private Member,Ordinary Bill,SOCIAL JUSTICE AND EMPOWERMENT,Rajya Sabha,Manoj Kumar Jha Prof.,2022-12-09,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/5 E- 258 Session1213202275037PM.pdf?source=legislation,,
LXXIV,"THE HATE CRIMES AND HATE SPEECH (COMBAT, PREVENTION AND PUNISHMENT) BILL, 2022",2022,Private Member,Ordinary Bill,HOME AFFAIRS,Rajya Sabha,Manoj Kumar Jha Prof.,2022-12-09,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/hate-91222-E12142022113024AM.pdf?source=legislation,,
LXXIII,"The Mahatma Gandhi National Rural Employment Guarantee (Amendment) Bill, 2022.",2022,Private Member,Financial Bill,RURAL DEVELOPMENT,Rajya Sabha,John Brittas Dr.,2022-12-09,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/16 E 258 Session1213202275834PM.pdf?source=legislation,,
LXXII,"The Constitution (Amendment) Bill, 2022 (amendment of articles 124,127,128 etc. substitution of articles 124A,124B and 124C)",2022,Private Member,Constitutional Amendment Bill,LAW AND JUSTICE,Rajya Sabha,Bikash Ranjan Bhattacharyya Shri,2022-12-09,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/Constitution Bikash Ranjan E12132022124500PM.pdf?source=legislation,,
LXXI,"The Constitution (Amendment) Bill, 2022 (amendment of articles 84 and 173).",2022,Private Member,Ordinary Bill,LAW AND JUSTICE,Rajya Sabha,Jayant Chaudhary Shri,2022-12-09,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/27 E 258 Session1213202280815PM.pdf?source=legislation,,
LXX,"The Motor Vehicles (Amendment) Bill, 2022.",2022,Private Member,Ordinary Bill,ROAD TRANSPORT AND HIGHWAYS,Rajya Sabha,John Brittas Dr.,2022-12-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/17 E 258 Session1213202275920PM.pdf?source=legislation,,
LXVII,"THE PARLIAMENT (PRODUCTIVITY ENHANCEMENT) BILL, 2022",2022,Private Member,Ordinary Bill,PARLIAMENTARY  AFFAIRS,Rajya Sabha,Manoj Kumar Jha Prof.,2022-12-09,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/4 E -258th Session1213202274959PM.pdf?source=legislation,,
LXVI,"The Constitution Amendment Bill, 2022 (amendment of articles 102, 155, 156 etc).",2022,Private Member,Ordinary Bill,HOME AFFAIRS,Rajya Sabha,P. Wilson Shri,2022-12-09,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/6 E - 258 Session 1213202275144PM.pdf?source=legislation,,
LXV,"The Constitution (Amendment) Bill, 2022 (amendment of articles 124 and 220).",2022,Private Member,Constitutional Amendment Bill,LAW AND JUSTICE,Rajya Sabha,V. Sivadasan Dr.,2022-12-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/7- E 258 Session1213202275219PM.pdf?source=legislation,,
LXIX,"The Constitution (Amendment) Bill, 2022 (amendment of article 324).",2022,Private Member,Constitutional Amendment Bill,LAW AND JUSTICE,Rajya Sabha,John Brittas Dr.,2022-12-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/18 E 258 Session1213202280026PM.pdf?source=legislation,,
LXIV,"The Gorkha Sculptors, Artists and Artisans of Darjeeling Hills Welfare Bill, 2022.",2022,Private Member,Ordinary Bill,CULTURE,Rajya Sabha,Shanta Chhetri Smt.,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/30 E 258 Session1213202281001PM.pdf?source=legislation,,
LXIII,"The Indian Penal Code (Amendment) Bill, 2022.",2022,Private Member,Ordinary Bill,HOME AFFAIRS,Rajya Sabha,Derek O' Brien Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/14 E 258 Session1213202275635PM.pdf?source=legislation,,
LXII,"The Right to Digital Literacy Bill, 2022.",2022,Private Member,Ordinary Bill,EDUCATION,Rajya Sabha,Derek O' Brien Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/13- E- 258 Session1213202275605PM.pdf?source=legislation,,
LXI,"The Prevention of Money-Laundering (Amendment) Bill, 2022",2022,Private Member,Ordinary Bill,FINANCE,Rajya Sabha,V. Sivadasan Dr.,2022-12-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/8 E 258 Session1213202275246PM.pdf?source=legislation,,
LX,"The Constitution (Amendment) Bill, 2022 (amendment of the Eighth Schedule).",2022,Private Member,Constitutional Amendment Bill,HOME AFFAIRS,Rajya Sabha,Sandosh Kumar P Shri,2022-12-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/19 E 258 Session1213202280058PM.pdf?source=legislation,,
LVIII,"The Constitution (Amendment) Bill, 2022 (insertion of new article 21B).",2022,Private Member,Constitutional Amendment Bill,LABOUR  AND  EMPLOYMENT,Rajya Sabha,V. Sivadasan Dr.,2022-12-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/9 E 258 Session1213202275331PM.pdf?source=legislation,,
LVII,"The Constitution (Amendment) Bill, 2022 (amendment of article 16).",2022,Private Member,Constitutional Amendment Bill,SOCIAL JUSTICE AND EMPOWERMENT,Rajya Sabha,Javed Ali Khan Shri,2022-12-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/10 E - 258 SessionRS1213202275406PM.pdf?source=legislation,,
LVI,"The Prevention of Insult to the Father of the Nation and other Icons of Freedom Movement Bill, 2022.",2022,Private Member,Ordinary Bill,HOME AFFAIRS,Rajya Sabha,Javed Ali Khan Shri,2022-12-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/LVI_2022-E731202484715PM.pdf?source=legislation,,
LIX,"The Official Languages Bill, 2022.",2022,Private Member,Financial Bill,HOME AFFAIRS,Rajya Sabha,Tiruchi Siva Shri,2022-12-09,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/12 E 258 Session1213202275506PM.pdf?source=legislation,,
L,"THE ANTARRASHTRIYA KANNADA VISHWAVIDYAL AYA BILL, 2022",2022,Private Member,Financial Bill,EDUCATION,Rajya Sabha,Iranna Kadadi Shri,2022-12-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/2 E- 258th Session1213202274829PM.pdf?source=legislation,,
99,"The Indian Penal Code (Amendment) Bill, 2022 (Insertion of new sections 379A and 379B)",2022,Private Member,Ordinary Bill,HOME AFFAIRS,Lok Sabha,Nishikant  Dubey Dr.,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/99 OF 2022 AS12122022111407AM.pdf?source=legislation,,
97,"The Financial Assistance to the State Governments (For Protection of Water Bodies) Bill, 2022.",2022,Private Member,Financial Bill,WATER RESOURCES,Lok Sabha,Alok Kumar Suman Dr.,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/97 OF 2022 AS12122022111225AM.pdf?source=legislation,,
57,"The Citizenship (Amendment) Bill, 2022 (Amendment of section               2, etc.)",2022,Private Member,Ordinary Bill,HOME AFFAIRS,Lok Sabha,Abdul Khaleque  Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/57 OF 2022 AS12122022111803AM.pdf?source=legislation,,
44,"The Central Universities (Amendment) Bill, 2022 (Insertion of new section 3F, etc.)",2022,Private Member,Financial Bill,EDUCATION,Lok Sabha,Kuldeep Rai Sharma Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/44 OF 2022 AS12122022112428AM.pdf?source=legislation,,
43,"Constitution (Amendment) Bill, 2022 (Omission of the Tenth Schedule)",2022,Private Member,Ordinary Bill,LAW AND JUSTICE,Lok Sabha,Jayant Sinha Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/43 OF 2022 AS12122022111920AM.pdf?source=legislation,,
42,"The Constitution (Amendment) Bill, 2022 (Amendment of  article 80, etc.)",2022,Private Member,Ordinary Bill,SOCIAL JUSTICE AND EMPOWERMENT,Lok Sabha,Kuldeep Rai Sharma Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/42 OF 2022 AS12122022112301AM.pdf?source=legislation,,
25,"The Widows (Protection and welfare)  Bill, 2022",2022,Private Member,Financial Bill,WOMEN AND CHILD DEVELOPMENT,Lok Sabha,Behanan Benny Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/25 OF 2022 AS12122022111647AM.pdf?source=legislation,,
220,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (FIFTH AMENDMENT) BILL, 2022",2022,Government,Financial Bill,TRIBAL AFFAIRS,Lok Sabha,,2022-12-09,2022-12-21,2023-07-25,04/08/2023,Assented,,,13,2023,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/220_2022_LS_Eng129202224323PM.pdf?source=legislation,,
219,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (FOURTH AMENDMENT) BILL, 2022",2022,Government,Financial Bill,TRIBAL AFFAIRS,Lok Sabha,,2022-12-09,2022-12-19,2022-12-22,02/01/2023,Assented,,,2,2023,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/219_2022_LS_Eng129202224230PM.pdf?source=legislation,,
219,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (FOURTH AMENDMENT) BILL, 2022",2022,Government,Financial Bill,TRIBAL AFFAIRS,Lok Sabha,,2022-12-09,2022-12-19,2022-12-22,02/01/2023,Passed,,,2,2023,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/219_2022_LS_Eng129202224230PM.pdf?source=legislation,,
218,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (THIRD AMENDMENT) BILL, 2022",2022,Government,Financial Bill,TRIBAL AFFAIRS,Lok Sabha,,2022-12-09,2022-12-16,2023-07-26,04/08/2023,Assented,,,14,2023,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/218_2022_LS_Eng129202224201PM.pdf?source=legislation,,
217,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (SECOND AMENDMENT) BILL, 2022",2022,Government,Financial Bill,TRIBAL AFFAIRS,Lok Sabha,,2022-12-09,2022-12-15,2022-12-22,02/01/2023,Assented,,,1,2023,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/217_2022_LS_Eng129202224040PM.pdf?source=legislation,,
217,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (SECOND AMENDMENT) BILL, 2022",2022,Government,Financial Bill,TRIBAL AFFAIRS,Lok Sabha,,2022-12-09,2022-12-15,2022-12-22,02/01/2023,Passed,,,1,2023,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/217_2022_LS_Eng129202224040PM.pdf?source=legislation,,
214,"The Prevention of Internet Shutdown Bill, 2022.",2022,Private Member,Financial Bill,COMMUNICATIONS AND INFORMATION TECHNOLOGY,Lok Sabha,"T. Sumathy (A) Thamizhachi Thangapandian, Dr.",2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/214 OF 2022 AS12122022115306AM.pdf?source=legislation,,
212,"The Representation of the People (Amendment) Bill, 2022 (Amendment of section 58, etc.)",2022,Private Member,Ordinary Bill,LAW AND JUSTICE,Lok Sabha,Kunwar Danish Ali,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/212 OF 2022 AS12122022115654AM.pdf?source=legislation,,
211,"The Rights of  Persons with Disabilities (Amendment) Bill, 2022 (Insertion of new section 9A, etc.)",2022,Private Member,Financial Bill,SOCIAL JUSTICE AND EMPOWERMENT,Lok Sabha,Gopal Chinayya Shetty Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/211 OF 2022 AS12122022115437AM.pdf?source=legislation,,
209,"The Prevention of Mob-Lynching Bill, 2022.",2022,Private Member,Ordinary Bill,HOME AFFAIRS,Lok Sabha,E. T. Mohammed Basheer Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/209 OF 2022 AS12122022115556AM.pdf?source=legislation,,
206,"The Prevention of Torture Bill, 2022.",2022,Private Member,Ordinary Bill,HOME AFFAIRS,Lok Sabha,E. T. Mohammed Basheer Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/206 OF 2022 AS12122022115627AM.pdf?source=legislation,,
205,"The Wild Life (Protection) Amendment Bill, 2022 (Amendment of section 8, etc.)",2022,Private Member,Ordinary Bill,ENVIRONMENT AND FORESTS,Lok Sabha,Thomas Chazhikadan Shri,2022-12-09,,,,Lapsed,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/205 OF 2022 AS12122022115339AM.pdf?source=legislation,,
